Sample	Country	River	Area
SRR28213510	Canada	English River	North-America
SRR28213511	Canada	English River	North-America
SRR28213512	Canada	English River	North-America
SRR28213513	Canada	English River	North-America
SRR28213515	Canada	English River	North-America
SRR28213516	Canada	English River	North-America
SRR28213517	Canada	English River	North-America
SRR28213518	Canada	English River	North-America
SRR28213519	Canada	English River	North-America
SRR28213520	Canada	English River	North-America
SRR28213522	Canada	English River	North-America
SRR28213523	Canada	English River	North-America
SRR28213816	Canada	Miramichi	North-America
SRR28213817	Canada	Miramichi	North-America
SRR28213818	Canada	Miramichi	North-America
SRR28213514	Canada	Muddy Bay Brook	North-America
SRR28213669	Canada	Muddy Bay Brook	North-America
SRR28213806	Canada	Muddy Bay Brook	North-America
SRR28213807	Canada	Muddy Bay Brook	North-America
SRR28213809	Canada	Muddy Bay Brook	North-America
SRR28213810	Canada	Muddy Bay Brook	North-America
SRR28213811	Canada	Muddy Bay Brook	North-America
SRR28213951	Canada	Muddy Bay Brook	North-America
SRR28213812	Canada	Restigouche	North-America
SRR28213814	Canada	Restigouche	North-America
SRR28213815	Canada	Restigouche	North-America
SRR28213952	Canada	Restigouche	North-America
SRR28213953	Canada	Restigouche	North-America
SRR28213954	Canada	Restigouche	North-America
SRR28213955	Canada	Restigouche	North-America
SRR28213956	Canada	Restigouche	North-America
SRR28213957	Canada	Restigouche	North-America
SRR28213958	Canada	Restigouche	North-America
SRR28213960	Canada	Restigouche	North-America
SRR28213961	Canada	Restigouche	North-America
SRR28213668	Canada	Riviere De La Trinite	North-America
SRR28213521	Canada	Sand Hill River	North-America
SRR28213524	Canada	Sand Hill River	North-America
SRR28213525	Canada	Sand Hill River	North-America
SRR28213526	Canada	Sand Hill River	North-America
SRR28213527	Canada	Sand Hill River	North-America
SRR28213528	Canada	Sand Hill River	North-America
SRR28213529	Canada	Sand Hill River	North-America
SRR28213530	Canada	Sand Hill River	North-America
SRR28213531	Canada	Sand Hill River	North-America
SRR28213658	Canada	Sand Hill River	North-America
SRR28213659	Canada	Sand Hill River	North-America
SRR28213660	Canada	Sand Hill River	North-America
SRR28213661	Canada	Sand Hill River	North-America
SRR28213662	Canada	Sand Hill River	North-America
SRR28213663	Canada	Sand Hill River	North-America
SRR28213664	Canada	Sand Hill River	North-America
SRR28213665	Canada	Sand Hill River	North-America
SRR28213666	Canada	Sand Hill River	North-America
SRR28213667	Canada	Sand Hill River	North-America
SRR28213670	Canada	Sand Hill River	North-America
SRR28213808	Canada	Sand Hill River	North-America
SRR28213813	Canada	Sand Hill River	North-America
SRR28213959	Canada	Sand Hill River	North-America
Tornio_5_1_1	Finland	Tornio	Finland
Tornio_5_1_2	Finland	Tornio	Finland
Tornio_5_10_1	Finland	Tornio	Finland
Tornio_5_11	Finland	Tornio	Finland
Tornio_5_113	Finland	Tornio	Finland
Tornio_5_13_1	Finland	Tornio	Finland
Tornio_5_13_2	Finland	Tornio	Finland
Tornio_5_14	Finland	Tornio	Finland
Tornio_5_16	Finland	Tornio	Finland
Tornio_5_17	Finland	Tornio	Finland
Tornio_5_18_1	Finland	Tornio	Finland
Tornio_5_18_2	Finland	Tornio	Finland
Tornio_5_2	Finland	Tornio	Finland
