Country	River	Latitude	Longitude	Type
Norway	Teno	70.5	28.4	Nuclear/Mitochondrial
Norway	Komagelva	70.2	30.2	Mitochondrial
Norway	Alta	69.9	23.4	Nuclear/Mitochondrial
Norway	Målselv	69.3	18.5	Nuclear/Mitochondrial
Russia	Rynda	68.3	36.9	Mitochondrial
Russia	Pechora	68.3	53.3	Mitochondrial
Finland	Tornio	65.85	24.15	Mitochondrial
Iceland	Hofsa	65.6	-14.8	Mitochondrial
Russia	Pongoma	65.4	34.4	Mitochondrial
Russia	Luzhma	64.6	34.8	Nuclear/Mitochondrial
Norway	Eira	62.7	8.1	Mitochondrial
Norway	Eidselva	61.9	5.9	Nuclear/Mitochondrial
Norway	Gloppenelva	61.8	6.2	Nuclear/Mitochondrial
Russia	Tulema	61.7	31.8	Mitochondrial
Norway	Flekke	61.3	5.1	Nuclear/Mitochondrial
Norway	Aardalselva	61.2	7.7	Nuclear/Mitochondrial
Finland	Saimaa	61.2	28.8	Nuclear/Mitochondrial
Norway	Vorma	60.1	11.4	Nuclear/Mitochondrial
Norway	Sogna	60.1	10.1	Mitochondrial
Norway	Suldalslågen	59.4	6.3	Nuclear/Mitochondrial
Sweden	Gullspång	58.98	14.1	Nuclear/Mitochondrial
Norway	Bjerkreimselva	58.5	6	Mitochondrial
UK	Laxford	58.4	-5	Mitochondrial
Norway	Otra	58.1	8	Mitochondrial
UK	Oykel	57.9	-4.4	Mitochondrial
UK	North_Uist	57.6	-7.3	Mitochondrial
UK	Ugie	57.5	-1.8	Mitochondrial
UK	Dee	57.1	-2.1	Nuclear/Mitochondrial
UK	North_Esk	56.7	-2.4	Mitochondrial
UK	Feochan	56.4	-5.4	Mitochondrial
UK	Orchy	56.4	-5	Mitochondrial
UK	Tweed	55.8	-2	Mitochondrial
UK	Stinchar	55.1	-5	Mitochondrial
UK	Dacre_Beck	54.6	-2.8	Mitochondrial
Canada	Muddy_Bay_Brook	53.7	-57	Nuclear/Mitochondrial
Canada	Sand_Hill_River	53.6	-56.3	Nuclear/Mitochondrial
UK	Conwy	53.3	-3.9	Mitochondrial
UK	Blackwater	51.7	0.9	Mitochondrial
UK	Taw	51.1	-4.2	Mitochondrial
UK	Teign	50.5	-3.5	Mitochondrial
Canada	Riviere_De_La_Trinite	49.4	-67.3	Nuclear/Mitochondrial
France	Elorn	48.4	-4.4	Mitochondrial
Canada	English_River	48.3	-88.5	Nuclear/Mitochondrial
Canada	Restigouche	48.1	-66.3	Nuclear/Mitochondrial
Canada	Miramichi	47.1	-65.4	Nuclear/Mitochondrial
France	Allier	47	3.1	Mitochondrial
USA	Sebago	43.8	-70.4	Nuclear/Mitochondrial
Spain	Eo	43.5	-7	Nuclear
Spain	Sella	43.5	-5.1	Nuclear
Spain	Asón	43.443	-3.454	Ancient/Mitochondrial
Spain	Bidasoa	43.3	-1.8	Nuclear
Spain	Urumea	43.3	-1.9	Nuclear
Spain	Tambre	42.8	-8.9	Nuclear
Spain	Ulla	42.6	-8.8	Nuclear
Spain	Lerez	42.4	-8.7	Nuclear
Spain	Miño	41.9	-8.8	Nuclear
USA	Connecticut	41.3	-72.3	Nuclear/Mitochondrial
