sample	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
200_Teno_120_1982	-0.0069	-0.0094	-0.0112	-0.0034	-0.0063	-0.0131	-0.0044	0.0033	-0.0002	-0.0013
201_Teno_144_1982	-0.0083	-0.0108	0.0085	-0.0107	-0.0083	0.0165	-0.0001	0.0001	0.0034	0.0
202_Teno_171_1982	-0.0121	-0.0117	-0.0009	0.0039	-0.0071	0.0024	-0.0032	0.0028	0.0039	0.0023
203_Teno_696_1982	-0.0117	-0.0168	0.0022	0.0181	-0.014	0.0053	0.0024	-0.0086	-0.0126	0.0042
204_Teno_332_1983	-0.0142	-0.0069	-0.0039	0.0184	0.0015	0.0076	-0.007	0.0018	0.0017	-0.0023
205_Teno_360_1983	-0.0139	-0.0207	-0.0037	0.0063	-0.0008	0.0047	-0.0031	-0.0017	0.0002	-0.0
206_Teno_567_1983	-0.0114	-0.0118	-0.0063	-0.0341	-0.0025	-0.0028	-0.0092	-0.0003	0.0005	-0.0144
207_Teno_671_1983	-0.0106	-0.0151	-0.0034	0.0219	0.0049	-0.0131	-0.0039	-0.0079	-0.0038	-0.0023
208_Teno_674_1983	-0.0076	-0.0098	0.0122	0.0299	0.0086	0.0061	-0.0001	-0.0003	0.0024	-0.0131
209_Teno_740_1983	-0.0061	-0.0072	-0.0032	-0.0244	0.0079	0.0044	-0.0006	-0.0007	0.001	-0.0004
210_Teno_765_1983	-0.0051	-0.0069	-0.0055	0.0163	-0.0038	0.0072	0.0014	0.0067	-0.0001	0.0001
211_Teno_766_1983	-0.0047	-0.0238	-0.0077	0.0173	-0.0086	0.0119	-0.0117	-0.0043	0.0128	-0.0067
212_Teno_769_1983	-0.0136	-0.0143	-0.008	0.0184	-0.0013	0.004	-0.0145	-0.0002	-0.0011	0.0026
213_Teno_772_1983	-0.0057	-0.014	-0.0205	0.0156	0.0136	-0.0034	-0.0029	-0.0003	-0.0001	0.0007
214_Teno_774_1983	-0.0135	-0.011	-0.0043	-0.0323	0.0075	-0.0056	0.0075	-0.0048	-0.0008	0.0015
215_Teno_776_1983	-0.0123	-0.0128	-0.0015	-0.028	-0.0233	0.0297	-0.0139	0.0147	0.0084	0.0012
216_Teno_781_1983	-0.0191	-0.0077	0.003	-0.0228	0.0022	0.0007	0.0022	-0.0045	0.0125	0.0059
217_Teno_782_1983	-0.0072	-0.0206	-0.0084	-0.0054	-0.0053	-0.0113	-0.001	0.0017	0.0018	-0.0088
218_Teno_166_1985	-0.0146	-0.0103	-0.0068	-0.0309	-0.0255	0.0109	-0.0007	-0.0074	-0.0018	0.0013
219_Teno_345_1985	-0.012	-0.0087	-0.0122	-0.0024	0.0007	-0.0056	0.0076	0.0061	0.0106	-0.0014
220_Teno_403_1985	-0.0134	-0.0082	-0.0046	0.0106	0.0004	-0.0034	-0.0002	-0.0179	-0.0027	-0.0009
221_Teno_785_1985	-0.0098	-0.013	-0.0014	-0.0369	-0.0065	0.0121	-0.019	0.011	-0.0008	-0.0068
222_Teno_790_1985	-0.009	-0.0164	-0.004	-0.0198	0.002	-0.003	-0.0124	0.0019	0.0087	-0.0001
223_Teno_894_1985	-0.0003	-0.0104	-0.0129	-0.0104	-0.0025	0.0059	0.0085	0.0509	-0.0059	-0.0201
224_Teno_1076_1985	-0.0097	-0.0124	0.0023	0.0138	-0.0023	0.0165	-0.0002	-0.0005	-0.0007	-0.0002
225_Teno_214_1986	-0.0106	-0.0163	-0.0091	-0.0269	-0.0066	0.0079	-0.0118	0.0115	-0.0004	-0.0051
226_Teno_219_1986	-0.0118	-0.0118	-0.0016	-0.0205	-0.0001	0.0019	-0.0151	0.0002	0.0068	-0.0053
227_Teno_221_1986	-0.0113	-0.0138	-0.0089	-0.025	0.0017	0.0072	-0.0019	0.0005	-0.0004	-0.0002
228_Teno_223_1986	-0.0104	-0.0124	-0.0161	0.0002	0.008	0.0077	-0.0031	0.0102	0.0101	-0.0031
229_Teno_225_1986	-0.0102	-0.01	-0.0062	-0.0179	0.0069	0.0121	0.0078	-0.0045	0.0009	-0.0036
230_Teno_429_1986	-0.0077	-0.0144	0.0042	-0.0172	-0.0062	0.0061	-0.0048	0.0042	0.0002	0.0033
231_Teno_432_1986	-0.0088	-0.0185	0.0	-0.0079	0.0032	0.0004	-0.0009	0.0183	0.0161	-0.012
232_Teno_433_1986	-0.0131	-0.0112	-0.0073	-0.0401	-0.0005	-0.0068	-0.0037	-0.0017	-0.0095	-0.0107
233_Teno_434_1986	-0.0108	-0.0073	0.0021	-0.0325	-0.0079	0.0029	-0.0085	-0.0034	0.0004	0.0019
234_Teno_435_1986	-0.012	-0.0126	-0.0069	-0.02	-0.0072	-0.0008	0.0103	0.0009	-0.0038	-0.0025
235_Teno_507_1986	-0.0131	-0.0121	-0.0079	-0.0201	-0.0002	0.012	-0.0044	-0.0017	-0.0006	0.0015
236_Teno_512_1986	-0.0076	-0.0198	-0.0105	-0.0401	0.0022	0.0035	-0.0127	-0.0021	0.0015	-0.001
237_Teno_513_1986	-0.0093	-0.012	-0.014	0.0103	0.0083	0.008	-0.0018	-0.0134	-0.0027	-0.009
238_Teno_559_1986	-0.0138	-0.0133	0.0006	-0.0309	-0.0067	0.0082	0.0028	-0.0012	0.0003	0.0007
239_Teno_685_1986	-0.0155	-0.0035	-0.0096	0.0219	-0.0045	0.0063	-0.0029	-0.0044	0.0014	-0.0037
240_Teno_772_1986	-0.0096	-0.0163	-0.0033	0.0144	0.0143	-0.0024	0.0072	-0.0009	-0.0031	0.0013
241_Teno_929_1986	-0.0139	-0.0151	0.0062	-0.0081	-0.0124	0.0072	-0.0186	0.0135	-0.0083	-0.017
242_Teno_1005_1986	-0.0028	-0.0125	0.0039	0.003	-0.0162	0.0053	-0.0023	-0.0006	-0.0127	-0.0023
243_Teno_1047_1986	-0.013	-0.016	0.0042	0.0178	-0.0162	0.012	-0.0051	-0.0035	-0.0009	-0.0033
244_Teno_1048_1986	-0.0051	-0.016	-0.0051	0.0268	-0.0088	0.0105	-0.0147	-0.0077	-0.001	-0.0096
245_Teno_1050_1986	-0.0111	-0.006	-0.0042	-0.0035	-0.0222	0.0067	-0.0082	0.0092	0.0028	0.0043
246_Teno_1057_1986	-0.0085	-0.016	-0.0109	-0.0094	-0.0107	0.0065	-0.0122	0.0075	0.0111	-0.0077
247_Teno_1112_1986	-0.0136	-0.0133	-0.0068	-0.0246	-0.0056	0.0079	0.0091	0.002	-0.0046	0.0011
248_Teno_1113_1986	-0.0101	-0.0088	-0.0003	0.006	0.0127	-0.005	0.0026	0.0006	0.0035	0.0008
249_Teno_1142_1986	-0.0119	-0.0137	-0.0046	0.0085	-0.0042	0.0083	-0.0161	-0.0034	0.0074	-0.0123
250_Teno_1190_1986	-0.011	-0.0108	0.0014	-0.0045	0.0008	0.0117	0.0052	-0.0066	0.0007	-0.0022
251_Teno_1197_1986	-0.0083	-0.0055	-0.008	0.0092	-0.0009	0.0153	-0.0099	-0.0056	0.0046	-0.0004
252_Teno_1275_1986	-0.0099	-0.0125	-0.0032	0.0098	0.0096	-0.0051	-0.0042	0.0066	0.0001	-0.0023
253_Teno_1295_1986	-0.009	-0.0145	-0.0036	0.0052	-0.0003	-0.0035	-0.0097	-0.0088	0.0004	0.0014
254_Teno_1384_1986	-0.0142	-0.01	0.0007	-0.0274	-0.0221	0.0232	0.0009	-0.0182	-0.0047	-0.0046
255_Teno_1161_1987	-0.0146	-0.0126	0.0041	0.0057	-0.0133	0.0199	0.0132	-0.0151	-0.0151	0.0022
256_Teno_1358_1987	-0.01	-0.0125	-0.0051	0.0028	0.0032	-0.0009	-0.0145	-0.0168	0.0021	-0.0021
257_Teno_1365_1987	-0.0186	-0.0141	0.0157	-0.0354	-0.0299	0.0065	0.0008	0.001	-0.0061	-0.0063
258_Teno_145_1987	-0.0137	-0.0117	-0.0093	-0.0429	-0.0036	0.0117	0.007	-0.0208	0.0128	0.0164
259_Teno_156_1987	-0.0136	-0.0172	-0.01	-0.0341	-0.005	0.0118	0.0011	-0.0095	0.0024	0.0002
260_Teno_245_1987	-0.0099	-0.0088	0.0009	0.0149	0.0005	0.0087	0.0021	-0.0003	-0.0006	0.0047
261_Teno_256_1987	-0.0067	-0.0131	-0.0052	0.002	-0.0105	0.0141	0.0014	-0.0056	0.0051	-0.0408
262_Teno_288_1987	-0.0091	-0.0165	-0.0117	0.0078	-0.0043	0.0138	0.0061	0.026	-0.0268	0.0139
263_Teno_389_1987	-0.0094	-0.0107	-0.0099	-0.0234	0.0091	0.0076	-0.0078	-0.0065	0.0023	-0.0025
264_Teno_390_1987	-0.0124	-0.0111	-0.0085	-0.0336	-0.0067	0.0132	-0.0038	-0.024	0.0038	0.0206
265_Teno_396_1987	-0.0088	-0.0138	-0.0103	-0.0169	-0.0081	0.0138	0.0041	-0.0	-0.0002	-0.0018
266_Teno_402_1987	-0.0095	-0.0099	-0.0048	0.0065	-0.0005	0.0094	-0.005	-0.005	0.0	-0.002
267_Teno_411_1987	-0.0102	-0.0099	0.0039	0.0126	-0.0041	0.0043	-0.0085	0.0043	0.0023	-0.0003
268_Teno_626_1987	-0.0124	-0.0134	-0.0111	-0.0425	-0.0071	0.0022	-0.0005	0.0065	-0.0068	0.0022
269_Teno_637_1987	-0.0108	-0.0071	-0.0008	-0.0346	0.0128	-0.0046	0.0038	0.012	-0.0012	0.0056
270_Teno_638_1987	-0.0134	-0.0152	-0.0156	-0.0415	-0.0053	0.015	-0.006	-0.0228	0.0166	-0.0077
271_Teno_639_1987	-0.0119	-0.0142	0.0033	0.0095	-0.0169	0.0057	-0.0125	-0.0086	0.0033	0.0011
272_Teno_640_1987	-0.0084	-0.014	-0.0064	0.025	-0.0088	0.0039	-0.0169	-0.001	0.0025	0.002
273_Teno_641_1987	-0.0099	-0.0105	-0.0073	-0.0107	0.0116	-0.0026	0.0085	0.0066	-0.0066	0.0063
274_Teno_644_1987	-0.0136	-0.006	0.0012	-0.0147	-0.0134	0.0109	0.0033	-0.0016	0.0004	-0.0084
275_Teno_650_1987	-0.0102	-0.0147	0.0033	-0.0259	-0.0094	0.0179	-0.0234	-0.0019	0.006	-0.0024
276_Teno_721_1987	-0.009	-0.012	0.0021	-0.0212	-0.005	0.0046	-0.0009	-0.005	-0.0188	0.0074
277_Teno_734_1987	-0.012	-0.0143	-0.0067	0.0115	-0.0111	0.0083	-0.0065	-0.0036	-0.0034	-0.0013
278_Teno_750_1987	-0.005	-0.0177	-0.006	0.012	0.0051	0.0023	0.0028	-0.0011	-0.0038	0.0011
279_Teno_751_1987	-0.0056	-0.0152	-0.0054	0.0142	0.0065	-0.0086	0.0057	0.0016	0.0011	-0.0001
280_Teno_755_1987	-0.0033	-0.014	-0.0047	0.0083	-0.008	-0.0035	0.008	-0.0061	-0.0011	0.0027
281_Teno_756_1987	-0.0115	-0.0117	-0.0068	0.0054	0.0141	0.0104	-0.008	0.0117	-0.0007	0.0014
282_Teno_760_1987	-0.0121	-0.0108	0.0039	0.0167	-0.0151	0.0022	-0.0063	-0.0045	0.0072	-0.003
283_Teno_766_1987	-0.014	-0.0122	0.0118	-0.0178	0.0044	0.0137	-0.0063	-0.0025	0.0004	-0.0043
284_Teno_835_1987	-0.0151	-0.0055	0.0108	-0.0221	-0.0251	-0.0064	-0.0121	0.0273	0.0053	0.0008
285_Teno_838_1987	-0.0153	-0.0146	0.0007	-0.028	0.0074	-0.0067	-0.0046	-0.0029	-0.0012	-0.001
286_Teno_842_1987	-0.0151	-0.0088	0.007	-0.0062	-0.0016	0.0049	-0.0035	0.0111	0.0313	0.0498
287_Teno_843_1987	-0.0093	-0.0111	0.0064	0.0038	0.0062	0.0009	0.0087	0.0011	0.0018	-0.0003
288_Teno_844_1987	-0.0119	-0.0187	0.0007	-0.0065	-0.0092	0.0088	-0.0021	-0.0015	-0.0036	0.003
289_Teno_846_1987	-0.0111	-0.0128	0.005	-0.0235	0.0007	0.0011	-0.0135	-0.01	0.001	-0.0006
290_Teno_905_1987	-0.0063	-0.0099	0.0092	-0.0064	0.0024	0.0118	-0.0015	0.002	0.0003	-0.0081
291_Teno_965_1987	-0.0081	-0.014	-0.0011	-0.0206	-0.0014	0.0099	-0.0055	-0.0055	0.0149	0.015
292_Teno_286_1988	-0.0136	-0.0063	0.0147	-0.0222	-0.0065	0.0119	-0.0077	-0.0144	-0.0062	-0.0166
293_Teno_372_1989	-0.013	-0.0138	-0.0098	-0.012	-0.0101	0.0146	0.0044	-0.0001	-0.0007	0.0038
300_Teno_3692_2001	-0.0106	-0.0105	-0.013	-0.0171	-0.021	-0.011	-0.0114	0.0027	0.0048	0.0072
301_Teno_3693_2001	-0.0112	-0.0111	-0.002	-0.024	0.0135	-0.0004	-0.0019	0.0057	-0.0043	-0.0001
302_Teno_3695_2001	-0.0104	-0.019	-0.0069	0.0172	0.0015	-0.0095	-0.0015	-0.0191	-0.0039	-0.0017
303_Teno_3731_2001	-0.0066	-0.008	-0.0061	0.0067	0.0	-0.0022	0.0032	0.0068	-0.0028	-0.0054
304_Teno_3733_2001	-0.0135	-0.0127	-0.0006	-0.0218	0.0008	-0.0019	0.0068	0.0034	-0.0022	0.0002
305_Teno_3734_2001	-0.0082	-0.0139	0.0018	0.0098	-0.0045	-0.0042	0.0014	0.0003	0.0024	0.0028
306_Teno_3736_2001	-0.0072	-0.0041	-0.0037	-0.0068	-0.014	-0.0005	0.0058	0.0168	-0.0019	0.0304
307_Teno_3738_2001	-0.0142	-0.0143	-0.0033	0.0148	-0.001	-0.0039	-0.0079	-0.0047	0.0003	0.0023
308_Teno_3741_2001	-0.0079	-0.0143	0.006	0.0145	0.0184	0.0024	-0.0095	-0.0008	0.0011	-0.0002
309_Teno_3742_2001	-0.0112	-0.0151	-0.0057	0.0315	-0.0035	0.0089	-0.0028	-0.009	-0.0022	-0.0036
310_Teno_3744_2001	-0.0028	-0.0107	-0.0022	0.0034	0.0052	-0.0047	0.0091	-0.0005	0.0001	0.0002
311_Teno_3751_2001	-0.0117	-0.0096	-0.0053	-0.0069	-0.0005	0.0049	0.0035	-0.008	-0.0005	0.0007
312_Teno_3902_2001	-0.0053	-0.0159	-0.0067	0.0046	0.0084	0.0153	-0.0076	-0.0025	0.0043	-0.0096
313_Teno_3903_2001	-0.0083	-0.0099	-0.0083	0.0131	-0.0031	0.0093	0.0094	0.0039	-0.0006	-0.0014
314_Teno_3910_2001	-0.0099	-0.0163	-0.0068	0.0227	0.0075	0.0001	-0.0078	0.0017	0.004	0.0015
315_Teno_3912_2001	-0.0116	-0.0069	-0.0046	0.0269	0.0171	-0.0136	0.0015	-0.0034	-0.0006	0.0013
316_Teno_3914_2001	-0.0113	-0.0196	-0.0063	0.0069	-0.0004	-0.0024	-0.0079	-0.0143	-0.0031	-0.0043
317_Teno_3916_2001	-0.0143	-0.0134	-0.014	-0.0285	-0.0166	0.0094	-0.0055	0.0054	0.0008	-0.0033
318_Teno_4165_2001	-0.0134	-0.0127	0.0019	0.0103	0.0038	-0.0027	-0.0127	0.0005	0.0015	-0.009
319_Teno_4167_2001	-0.0133	-0.0145	-0.0187	-0.0417	0.0029	-0.0027	-0.0096	0.003	0.002	0.0001
320_Teno_4168_2001	-0.0153	-0.0098	-0.011	0.0155	0.0126	-0.0146	0.0112	0.0025	0.0113	-0.0042
321_Teno_4169_2001	-0.0113	-0.0071	-0.0071	0.0153	-0.019	0.0117	-0.0012	-0.0007	-0.0004	-0.0021
322_Teno_4890_2001	-0.0155	-0.0146	-0.0066	-0.0064	-0.0053	0.0012	0.0035	0.0001	0.0001	0.0004
