OriginalSample	region	missingness	PC1_ref	PC2_ref	mean_dx	mean_dy	displacement	n
1000_Tornio_7_134	Finland	M0.40	0.0556	-0.0088	0.000846000000000004	-0.000493999999999999	0.000979669331968703	100
1001_Tornio_7_135	Finland	M0.40	0.0575	-0.017	0.000103999999999998	-0.000427999999999999	0.000440454310910903	100
1002_Tornio_7_141	Finland	M0.40	0.0687	-0.0117	6.10000000000031e-05	-0.000636	0.000638918617665818	100
1003_Tornio_7_156	Finland	M0.40	0.0645	-0.0151	0.000229999999999998	-0.000512999999999999	0.000562200142298095	100
1004_Tornio_7_181	Finland	M0.40	0.0611	-0.0125	0.000717999999999998	-0.000432999999999999	0.000838458705005796	100
1005_Tornio_7_202	Finland	M0.40	0.0536	-0.0114	0.000168999999999998	-0.000671	0.00069195520086202	100
1006_Tornio_7_205	Finland	M0.40	0.0604	-0.0103	0.000274999999999998	-0.00022	0.000352171833058805	100
1007_Tornio_7_207	Finland	M0.40	0.0567	-0.0127	0.000815	0.000439999999999999	0.000926188425753636	100
1008_Tornio_7_218	Finland	M0.40	0.0632	-0.0138	-0.000287000000000006	-9.40000000000003e-05	0.000302001655624607	100
1009_Tornio_7_238	Finland	M0.40	0.0555	-0.0165	0.000727999999999999	-0.000527999999999999	0.000899315295099554	100
1010_Tornio_7_246	Finland	M0.40	0.0588	-0.0102	0.000559000000000002	-0.000325999999999999	0.000647114363926502	100
1011_Tornio_7_267	Finland	M0.40	0.0583	-0.012	0.000360000000000003	0.000239	0.000432112253934093	100
1012_Tornio_7_276	Finland	M0.40	0.0592	-0.0158	0.000265999999999997	-0.000211999999999999	0.000340147027033896	100
1013_Tornio_7_279	Finland	M0.40	0.0581	-0.0119	0.000298000000000001	-0.000351999999999999	0.000461202775360253	100
10_172	Spain-Atl	M0.40	1e-04	0.0425	-5.8e-05	0.000986999999999997	0.000988702685340742	100
10_173	Spain-Atl	M0.40	-0.0051	0.034	0.000429	0.000471999999999998	0.000637828346814406	100
10_174	Spain-Atl	M0.40	4e-04	0.0411	-0.000173	0.001317	0.00132831396890946	100
10_175	Spain-Atl	M0.40	-0.0024	0.039	-0.000117	0.00078	0.000788726188230111	100
10_176	Spain-Atl	M0.40	0.0044	0.0394	0.000413	0.000809000000000003	0.000908322629906359	100
10_177	Spain-Atl	M0.40	3e-04	0.0486	-0.000192	0.000860000000000002	0.000881171946897996	100
10_178	Spain-Atl	M0.40	9e-04	0.0476	-0.000516	0.000408999999999996	0.000658435266370201	100
10_179	Spain-Atl	M0.40	0.0047	0.0348	0.000413	0.001135	0.00120780544790956	100
10_180	Spain-Atl	M0.40	-0.0014	0.0438	0.000226	0.001517	0.00153374215564416	100
10_181	Spain-Atl	M0.40	0.0053	0.0354	-0.000116	0.001112	0.00111803398874989	100
10_182	Spain-Atl	M0.40	-3e-04	0.0381	-0.000126	0.001169	0.00117577081100017	100
10_183	Spain-Atl	M0.40	1e-04	0.0444	1.1e-05	0.000514999999999998	0.00051511746233262	100
10_184	Spain-Atl	M0.40	0.0012	0.0495	0.000198	0.001284	0.00129917666235197	100
10_185	Spain-Atl	M0.40	0.0018	0.0434	-0.000335	0.001409	0.00144827690722458	100
